Final_Label,Highest_Topic_Label,Merged_Label,Original_Label_Pair,Representative_Document
AI and Data-Driven Approaches for Urban and Disaster Management,AI and Data-Driven Approaches for Urban and Disaster Management,AI and Data-Driven Approaches for Urban and Disaster Management,"AI and Data-Driven Approaches for Urban and Disaster Management , AI and Data-Driven Approaches for Urban and Disaster Management",Urban Planning and Analysis with AI and Data-Driven Approaches
Advanced Matrix and Tensor Methods,Advanced Matrix and Tensor Methods,Advanced Matrix and Tensor Methods,"Advanced Matrix and Tensor Methods , Advanced Matrix and Tensor Methods",Tensor Methods and Applications
Advanced Statistical and Machine Learning Methods,Advanced Statistical and Machine Learning Methods,Advanced Statistical and Machine Learning Methods,"Advanced Statistical and Machine Learning Methods , Advanced Statistical and Machine Learning Methods",Robust Regression Methods
"Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication","Advanced Technologies for Simulation, Sensing, and Fabrication , Advanced Technologies for Simulation, Sensing, and Fabrication",Additive Manufacturing and Laser-Based Fabrication Techniques
Advances in Sequence Modeling and In-Context Learning,Advances in Sequence Modeling and In-Context Learning,Advances in Sequence Modeling and In-Context Learning,"Advances in Sequence Modeling and In-Context Learning , Advances in Sequence Modeling and In-Context Learning",Advances in Sequence Modeling: Transformers and Alternatives
Adversarial Attacks and Vulnerabilities in AI and Machine Learning Systems,Adversarial Attacks and Vulnerabilities in AI and Machine Learning Systems,Adversarial Attacks and Vulnerabilities in AI and Machine Learning Systems,"Adversarial Attacks and Vulnerabilities in AI and Machine Learning Systems , Adversarial Attacks and Vulnerabilities in AI and Machine Learning Systems",Backdoor Attacks on AI Models
Aerial Robotics and Computer Vision,Aerial Robotics and Computer Vision,Aerial Robotics and Computer Vision,"Aerial Robotics and Computer Vision , Aerial Robotics and Computer Vision",Computer Vision Applications in Agriculture and Aerial Imagery
Artificial Intelligence Applications and Implications,Artificial Intelligence Applications and Implications,Artificial Intelligence Applications and Implications,"Artificial Intelligence Applications and Implications , Artificial Intelligence Applications and Implications",Artificial Intelligence Ethics and Governance
Artificial Intelligence and Cognitive Systems,"Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems",Artificial Intelligence and Cognitive Systems,"Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems , Artificial Intelligence and Cognitive Systems","Knowledge Representation and Organization Methodologies , Artificial Intelligence and Cognitive Systems"
Artificial Intelligence and Edge Computing for IoT and Mobile Networks,Artificial Intelligence and Edge Computing for IoT and Mobile Networks,Artificial Intelligence and Edge Computing for IoT and Mobile Networks,"Artificial Intelligence and Edge Computing for IoT and Mobile Networks , Artificial Intelligence and Edge Computing for IoT and Mobile Networks",Edge Computing and Artificial Intelligence for IoT and Mobile Networks
Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization,"Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization , Artificial Intelligence and Machine Learning Hardware Acceleration and Optimization",Hardware Design and Acceleration for AI and ML Applications
Artificial Intelligence and Machine Learning Interpretability and Explainability,Explainable Artificial Intelligence,Artificial Intelligence and Machine Learning Interpretability and Explainability,"Explainable Artificial Intelligence , Explainable Artificial Intelligence",Interpretable Deep Learning Models
Artificial Intelligence for Creative Content Generation,Artificial Intelligence for Creative Content Generation,Artificial Intelligence for Creative Content Generation,"Artificial Intelligence for Creative Content Generation , Artificial Intelligence for Creative Content Generation",Text-Guided Visual Content Generation and Editing
Artificial Intelligence in Creative Industries,Artificial Intelligence in Creative Industries,Artificial Intelligence in Creative Industries,"Artificial Intelligence in Creative Industries , Artificial Intelligence in Creative Industries",Artificial Intelligence in Creative Industries
